"table_name","column_name","data_type","character_maximum_length","column_default","is_nullable"
"clientes","id","integer",NULL,"nextval('clientes_id_seq'::regclass)","NO"
"clientes","nome","character varying",100,NULL,"NO"
"clientes","endereco","text",NULL,NULL,"YES"
"clientes","telefone","character varying",20,NULL,"YES"
"clientes","email","character varying",100,NULL,"YES"
"estoque","id","integer",NULL,"nextval('estoque_id_seq'::regclass)","NO"
"estoque","produto_id","integer",NULL,NULL,"YES"
"estoque","quantidade","integer",NULL,NULL,"NO"
"estoque","data_validade","date",NULL,NULL,"YES"
"fornecedores","id","integer",NULL,"nextval('fornecedores_id_seq'::regclass)","NO"
"fornecedores","nome","character varying",100,NULL,"NO"
"fornecedores","endereco","text",NULL,NULL,"YES"
"fornecedores","telefone","character varying",20,NULL,"YES"
"fornecedores","email","character varying",100,NULL,"YES"
"papeis","id","integer",NULL,"nextval('papeis_id_seq'::regclass)","NO"
"papeis","nome","character varying",50,NULL,"NO"
"papel_permissao","papel_id","integer",NULL,NULL,"NO"
"papel_permissao","permissao_id","integer",NULL,NULL,"NO"
"permissoes","id","integer",NULL,"nextval('permissoes_id_seq'::regclass)","NO"
"permissoes","nome","character varying",50,NULL,"NO"
"produtos","id","integer",NULL,"nextval('produtos_id_seq'::regclass)","NO"
"produtos","nome","character varying",100,NULL,"NO"
"produtos","descricao","text",NULL,NULL,"YES"
"produtos","preco","numeric",NULL,NULL,"NO"
"produtos","validade","date",NULL,NULL,"YES"
"produtos","tipo","character varying",20,NULL,"YES"
"usuario_papel","usuario_id","integer",NULL,NULL,"NO"
"usuario_papel","papel_id","integer",NULL,NULL,"NO"
"usuarios","id","integer",NULL,"nextval('usuarios_id_seq'::regclass)","NO"
"usuarios","nome","character varying",100,NULL,"NO"
"usuarios","email","character varying",100,NULL,"NO"
"usuarios","senha","character varying",255,NULL,"NO"
